||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|Aksaray(Sultanhanı/Sultanhanı Bel.)-52937|12078.0|
|Amasya(Göynücek/Göynücek Bel.)-1130|5378.0|
|Amasya(Gümüşhacıköy/Gümüşhacıköy Bel.)-1128|15401.0|
|Amasya(Hamamözü/Hamamözü Bel.)-1125|1576.0|
|Amasya(Merkez/Amasya Bel.)-1126|119466.0|
|Amasya(Merkez/Ziyaret Bel.)-1151|4181.0|
|Amasya(Merzifon/Merzifon Bel.)-1131|64172.0|
|Amasya(Suluova/Suluova Bel.)-1129|39617.0|
|Amasya(Taşova/Taşova Bel.)-1127|11173.0|
|Ankara(Akyurt/Akyurt Bel.)-1162|44541.0|
|Ankara(Altındağ/Altındağ Bel.)-1178|414893.0|
|Ankara(Ayaş/Ayaş Bel.)-1163|13670.0|
|Ankara(Bala/Bala Bel.)-1164|21893.0|
|Ankara(Beypazarı/Beypazarı Bel.)-1165|48445.0|
|Ankara(Çamlıdere/Çamlıdere Bel.)-1166|10475.0|
|Ankara(Çankaya/Çankaya Bel.)-1155|947330.0|
|Ankara(Çubuk/Çubuk Bel.)-1167|100750.0|
|Ankara(Elmadağ/Elmadağ Bel.)-1168|45133.0|
|Ankara(Etimesgut/Etimesgut Bel.)-1156|629112.0|
|Ankara(Evren/Evren Bel.)-1169|3096.0|
|Ankara(Gölbaşı/Gölbaşı Bel.)-1157|165201.0|
|Ankara(Güdül/Güdül Bel.)-1170|8521.0|
|Ankara(Haymana/Haymana Bel.)-1171|27241.0|
|Ankara(Kahramankazan/Kahramankazan Bel.)-1173|62060.0|
|Ankara(Kalecik/Kalecik Bel.)-1172|12801.0|
|Ankara(Keçiören/Keçiören Bel.)-1158|932128.0|
|Ankara(Kızılcahamam/Kızılcahamam Bel.)-1174|28823.0|
|Ankara(Mamak/Mamak Bel.)-1159|686777.0|
|Ankara(Nallıhan/Nallıhan Bel.)-1175|26488.0|
|Ankara(Polatlı/Polatlı Bel.)-1176|130515.0|
|Ankara(Pursaklar/Pursaklar Bel.)-1205|165665.0|
|Ankara(Şereflikoçhisar/Şereflikoçhisar Bel.)-1177|33316.0|
|Ankara(Sincan/Sincan Bel.)-1160|590309.0|
|Ankara(Yenimahalle/Yenimahalle Bel.)-1161|714866.0|
|Antalya(Akseki/Akseki Bel.)-1226|10546.0|
|Antalya(Aksu/Aksu Bel.)-1314|82560.0|
|Antalya(Alanya/Alanya Bel.)-1227|361873.0|
|Antalya(Demre/Demre Bel.)-1233|27814.0|
|Antalya(Döşemealtı/Döşemealtı Bel.)-1319|90572.0|
|Antalya(Elmalı/Elmalı Bel.)-1228|41853.0|
|Antalya(Finike/Finike Bel.)-1229|51620.0|
|Antalya(Gazipaşa/Gazipaşa Bel.)-1230|55362.0|
|Antalya(Gündoğmuş/Gündoğmuş Bel.)-1231|7353.0|
|Antalya(İbradı/İbradı Bel.)-1232|3411.0|
|Antalya(Kaş/Kaş Bel.)-1234|63921.0|
|Antalya(Kemer/Kemer Bel.)-1235|50436.0|
|Antalya(Kepez/Kepez Bel.)-1309|629479.0|
|Antalya(Konyaaltı/Konyaaltı Bel.)-1308|196079.0|
|Antalya(Korkuteli/Korkuteli Bel.)-1222|58728.0|
|Antalya(Kumluca/Kumluca Bel.)-1223|75041.0|
|Antalya(Manavgat/Manavgat Bel.)-1224|262576.0|
|Antalya(Muratpaşa/Muratpaşa Bel.)-1310|509444.0|
|Antalya(Serik/Serik Bel.)-1225|143435.0|
|Ardahan(Çıldır/Çıldır Bel.)-4079|2565.0|
|Ardahan(Damal/Damal Bel.)-4083|2666.0|
|Ardahan(Göle/Göle Bel.)-4080|5746.0|
|Ardahan(Göle/Köprülü Bel.)-4085|1992.0|
|Ardahan(Hanak/Hanak Bel.)-4081|2789.0|
|Ardahan(Merkez/Ardahan Bel.)-4078|24609.0|
|Ardahan(Posof/Posof Bel.)-4082|2081.0|
|Artvin(Ardanuç/Ardanuç Bel.)-1331|5376.0|
|Artvin(Arhavi/Arhavi Bel.)-1325|17455.0|
|Artvin(Borçka/Borçka Bel.)-1327|10958.0|
|Artvin(Hopa/Hopa Bel.)-1328|23369.0|
|Artvin(Kemalpaşa/Kemalpaşa Bel.)-52925|6302.0|
|Artvin(Merkez/Artvin Bel.)-1329|26348.0|
|Artvin(Murgul/Murgul Bel.)-1330|4935.0|
|Artvin(Şavşat/Şavşat Bel.)-1326|6937.0|
|Artvin(Yusufeli/Yusufeli Bel.)-1324|7145.0|
|Aydın(Bozdoğan/Bozdoğan Bel.)-1336|31945.0|
